tweet_id,text,intent_label,llm_prediction_partial,llm_prediction
1792261,"@SpotifyCares Coming over from Groove. Wife &amp; I used same acct. So music can play same time, how to move playlists to diff user - fam prem.",Account & Access,Account & Access,Account & Access
2064231,@SpotifyCares i've just had an email to an address i barely use asking me to confirm my account... but i haven't tried to sign up! 😅,Account & Access,Account & Access,Account & Access
767013,. @115888 y’all need to update yo Roku channel pls https://t.co/t8mwyK0UQ3,Playback & Technical Issue,Feature Request,Feature Request
740188,"Dear @115888 , why isn't KP&amp;Envyi swing my way on here? The remix is available but not the regular version. The remix isn't as good https://t.co/f7sSBceNPk",Content Availability,Content Availability,Content Availability
1688021,@SpotifyCares yo whats up with this? cant log in to my spotify for artist page. i use Google Chrome on Win 7 64bit https://t.co/d5hqPsGJaA,Account & Access,Account & Access,Account & Access
2948034,"@SpotifyCares Seriously, what is the following function for? I never get any info about newly released music by artists I follow 😢",Feature Request,Feature Request,Feature Request
2135040,"BRING BACK BTOB'S  ""COMPLETE"" AND ""I MEAN"" ALBUM, @115888 PLEASE! https://t.co/NUE7zX7u8Y",Content Availability,Content Availability,Content Availability
2347881,"@SpotifyCares Hello, I wanted to contact you because all the members of my Premium Family Account were kicked out and cannot rejoin. When Spotify checked our address and Postal Code we all wrote the same thing, but still this happened.",Account & Access,Account & Access,Account & Access
1897577,"If @115888 charges me in the next 3 days, they will overdraw my account.",Billing & Subscription,Billing & Subscription,Billing & Subscription
2433818,"@SpotifyCares hi I am trying to activate my Vodafone add on without success, is there a problem with my Spotify account?",Billing & Subscription,Billing & Subscription,Billing & Subscription
1484994,Yo @115888 when the hell are you arriving in India? Tired of using VPN to access it,Other / Unclear,Content Availability,Content Availability
2455438,When is @115888 going to be updated for the iPhone X? It’s about time.,Feature Request,Feature Request,Feature Request
2175466,"@SpotifyCares heeeyyyyy just wondering if I can ever save over 10k songs. I'm deleting gold to add more gold. If I could fix anything I'd fix that.
Your biggest fan.",Feature Request,Feature Request,Feature Request
2118728,@SpotifyCares hi! does spotify in the philippines have physical gift cards? 😊,Billing & Subscription,Content Availability,Content Availability
2986606,@115888 hey I have a question.,Other / Unclear,Other / Unclear,Other / Unclear
2121158,@115888 Why would u suggest me this shit when Im tryin to play Chief Keef ? Ur supposed to suggest me related artists/songs u stupid cunt. https://t.co/Xneocqkokb,Playback & Technical Issue,General Complaint,General Complaint
1256046,What is that when @115888 plays at a fast tempo? Or is it my iPhone and not the app?,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2520094,@SpotifyCares My premium has been cancelled even though I have a receipt and paid for the month on the 26th of November. It won’t let me fix this and I am not happy.,Billing & Subscription,Billing & Subscription,Billing & Subscription
925390,Why the hell am I paying for @115888  if there's a track limit on downloads?,Billing & Subscription,Billing & Subscription,Billing & Subscription
2755855,I’m mad @115888 took away the shake to go to the bottom of your playlist feature....I loved that,Feature Request,Feature Request,Feature Request
1686466,@SpotifyCares I sent you a DM pleaase respond,Other / Unclear,Other / Unclear,Other / Unclear
2190900,@SpotifyCares Can you guys add the feature to block followers please?,Feature Request,Feature Request,Feature Request
1830138,@SpotifyCares Lost all my related artists on my artist page. Is there a reason for this or a glitch you're aware of? Thanks,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2285098,@115888 X update anytime soon? Finding myself using other music apps...,Feature Request,Feature Request,Feature Request
1831384,Love it that the @115888 app logged me out and now I have to redownload all 1000+ songs I had 🙃,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
1161821,@115888 any news on an Apple Watch app?  Just got one and can’t use my subscription with it😢,Feature Request,Playback & Technical Issue,Playback & Technical Issue
1944805,"Yo @115888 I appreciate the offer for 30 minutes of ad-free on your MOBILE app, but maybe don't have it linked to tapping the screen and watching a video since a lot of people probably listen while driving. Ya know, the whole not getting people killed thing is cool.",General Complaint,Feature Request,Feature Request
2917845,WHATS GOING ON @115888,Other / Unclear,Other / Unclear,Other / Unclear
2912392,Is @115888 down for other people?,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2368014,"Hi @115888, can I save/bookmark the last played position in a audio book?",Feature Request,Feature Request,Feature Request
2317240,@115888 hi my cousin has accidentally set up 3 accounts and can not access any of them can my auntie speak to someone to resolve it? It’s quite a tricky situation.,Account & Access,Account & Access,Account & Access
2910949,"Another day, another device @115888 randomly connects to and plays randomly chosen music through. 🙄 How do I stop this from happening without constantly having to unconnect bluetooth? @SpotifyCares",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2976797,"@SpotifyCares yo, I’ve closed the app, restarted my phone, even logged out but old mate in the red keeps popping up. All details are correct because I went, checked &amp; fixed it up. Also thE photos where taken within ten minutes of each other. I had to crop cause personal details. https://t.co/2LMgSgoYKS",Account & Access,Playback & Technical Issue,Playback & Technical Issue
577397,@SpotifyCares  Which day  spotify  will report sales data to my aggregater,Other / Unclear,Account & Access,Account & Access
2618509,"What’s all that about @115888 @116130 ?! Fancy giving me more space, I’ve got things I need to listen to!!! #AllFilledUp #SpotifyLimit https://t.co/6n424LAJeB",Feature Request,Feature Request,Feature Request
2309230,I need a CONTACT # for @spotifycares because I was charged twice 🤬,Billing & Subscription,Billing & Subscription,Billing & Subscription
1711917,@SpotifyCares Apparently there is no contact form anymore.  How do i get my issues fixed!,Other / Unclear,Account & Access,Account & Access
1350250,@115888 what's tea? Why y'all always glitch when I play CTRL? I'm trying to give sis the streams she deserves.,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
1193572,"@SpotifyCares can you guy do something about the payment method , I have tried so many different cards and none isn’t working",Billing & Subscription,Billing & Subscription,Billing & Subscription
172520,"@SpotifyCares Hey. Can't download anything from the Android app. Offline mode is off, Download using cell data is on, I'm on premium, got fast and reliable data connectivity. What's wrong? Help me. ASAP",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
1705044,@SpotifyCares I just got the free trial for premium and it’s working on my laptop but my phone still says I’m on the free subscription😭,Billing & Subscription,Billing & Subscription,Billing & Subscription
2198080,@SpotifyCares  ok sooo... signed up for a premium account... now all of the sudden I don't have any of my music and my subscription didn't go through? ...wtf.  Also having to make a twitter account to contact you guys is dumb af.was super stoked to stop using itunes...not anymore,Billing & Subscription,Billing & Subscription,Billing & Subscription
2198206,"@115888 pls, why? Pls be nice. That is not a brief message at all, its 131 minutes of the same advert. https://t.co/cpIc9R06ro",General Complaint,General Complaint,General Complaint
1933574,@115888 please give a job curating playlists im really creative and love listening to music,Other / Unclear,Other / Unclear,Other / Unclear
2429632,@115888 why are your ads so loud??,General Complaint,General Complaint,General Complaint
2215928,@SpotifyCares I just added a bunch of new songs in a playlist and my phone doesn't seem to be shuffling to them. Why is this?,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
100130,"@SpotifyCares hi there! is it possible to remove a project from spotify, but reupload a single song from the project &amp; keep the plays/streams if using same ISRC, audio file, track name, artist name?",Content Availability,Feature Request,Feature Request
905650,can someone explain to me why i can't listen to @335001 on @115888 rn cause this is def not a party in the USA,Playback & Technical Issue,Content Availability,Content Availability
2901249,Why won’t @SpotifyCares let me switch to the student deal?? All I get is this spinning wheel? https://t.co/KGCbf8Q8RT,Billing & Subscription,Billing & Subscription,Billing & Subscription
2182982,@SpotifyCares ok here is the problem I know my user name: Joere0101 but lost password and can't remember which email is linked to my account. Probably an old one that is not in use anymore and I have Premium,Account & Access,Account & Access,Account & Access
1824430,I have Spotify and I'm wondering if I should switch to Apple. I'm tryna get the family plan. What should I do?🤔 @115948 @115888,Billing & Subscription,Billing & Subscription,Billing & Subscription
1091458,"Hey @115888 what do I have to do to get ""You Should Be My Girl"" by @377524 ?? #illwritealetter @40298",Content Availability,Content Availability,Content Availability
291852,@SpotifyCares My spotify playlist disappeared and It's not on the recover page.,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2071005,"hey @115888 im just tryna feel a little vengeful towards my exes on this fine sunday &amp; why isnt ""How Bout Now"" by Drake on your database xo",Content Availability,Content Availability,Content Availability
2720889,"@SpotifyCares , I've just signed-up on your 9 pesos-for-3-months promo, but I have been charged for 129 pesos. I would like you to give me back my money. Otherwise, I'd like to cancel my subscription. Charging me for 129 is very disappointing. that's not your promo says.",Billing & Subscription,Billing & Subscription,Billing & Subscription
572094,@SpotifyCares MY PAYMENT STILL ISNT GOING THROUGH AND IF IT DOESNT GO THROUGH TONIGHT MY PREMIUM WILL GO AWAY TOMORROW !!!!! SOS,Billing & Subscription,Billing & Subscription,Billing & Subscription
1989832,"@SpotifyCares Hi, our account (mmastenbroek) is since a few days 'Free', while there's still money charged (last on 11-10-2017).",Billing & Subscription,Billing & Subscription,Billing & Subscription
2215857,When #Reputation isn't on @115888 https://t.co/w4Xwq26JNX,Content Availability,Content Availability,Content Availability
842898,@115888 Please bring Spotify to #BlackBerry10,Feature Request,Feature Request,Feature Request
2066506,"@SpotifyCares 
Help me out I just emailed you guys",Other / Unclear,Other / Unclear,Other / Unclear
790772,"@SpotifyCares just received an email regarding my student premium membership, could you please check DMs? ☺️",Billing & Subscription,Billing & Subscription,Billing & Subscription
737377,"@115888 @SpotifyCares hey, guys. Share is not working on my 6P, Android Oreo! The app is updated!
When I try to share the app closes :(",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
382065,@115888 when it'll be starts in India?,Other / Unclear,Content Availability,Content Availability
1355013,@SpotifyCares - please be advised that my spotify subscription is no longer working with my provider rogers.  __email__,Billing & Subscription,Billing & Subscription,Billing & Subscription
211385,I’d love to make this happen. @115888 how do we get our podcast catalog onto your service? https://t.co/9b77OkLa4k,Content Availability,Feature Request,Feature Request
1043596,Hey @115888 do you have a playlist full with Spotify Singles?,Content Availability,Content Availability,Content Availability
540363,@SpotifyCares need to cancel my account. Problem is no idea what email was used. Tried them all. How can I cancel. Need help. Thanks,Account & Access,Billing & Subscription,Billing & Subscription
1812515,https://t.co/zAMq8fMM2k,Other / Unclear,Other / Unclear,Other / Unclear
1859495,"@117153  
Hi I subscribed to premium but I can not use it, use the university account and they already charged me but I really wanted the normal premium account, which is what I have to do to recover my money and pay the normal premium.",Billing & Subscription,Billing & Subscription,Billing & Subscription
1925209,I have @115888 premium but don't have unlimited skips what gives?,Billing & Subscription,Playback & Technical Issue,Playback & Technical Issue
2809920,@SpotifyCares Spotify won’t let me reset my password 😩😩I’m locked out of my account 👿👿 https://t.co/ZX4jdFIRjV,Account & Access,Account & Access,Account & Access
2929232,@117153 having difficulty going online from the iPhone app,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
1965505,@SpotifyCares Hey! I want to change my username and profile photo within the android app and unlink my Facebook profile please. DMed you.,Account & Access,Account & Access,Account & Access
2552610,"@SpotifyCares I got a new phone, iphone 8, and recently every snapchat notification I get pauses my spotify music. Can this be fixed?",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2913873,@117153 Can't connect! Neither on Wi-Fi or Network data!,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
727215,Hey @SpotifyCares check your DMs,Other / Unclear,Other / Unclear,Other / Unclear
1802317,"Hey @116130 @SpotifyCares why does my app crash every time press 'Share' 🤔
I wanna bring the music to the people dem.",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2551349,@115888 it’s almost 2018.  When will you “allow” an Apple Watch app?  Its like you WANT us to quit and go to Apple Music. Pls get with it.,Feature Request,Feature Request,Feature Request
2379018,"@115888 dear spotify,i was downgraded from premium family plan to free subscription. i m the only one who’s experiencing dis in d fam. they tried inviting me back i even made a new acc but still cant join the fam plan. does this mean they secretly don’t want me in the fam or...?",Account & Access,Billing & Subscription,Billing & Subscription
632001,@SpotifyCares Hello Some music numbers are grey and I can not play them. How can I solve this problem?,Content Availability,Playback & Technical Issue,Playback & Technical Issue
1580660,@115888 yall need to step up your game. Why the frick frack paddy whack can't I find any @18284 songs?? Fix this,Content Availability,Content Availability,Content Availability
1911765,I wish you could link your @115888 with @126972... #hint,Feature Request,Feature Request,Feature Request
528377,@115888 how about an incognito feature for songs and albums?Sometimes u just wanna listen to Christmas or classical music all day but don’t want 20 similar recommendations,Feature Request,Feature Request,Feature Request
2289612,My @115888 app has been glitching the past 2 days and it’s super frustrating like why do I️ pay $10 a month to not listen to music on demand??? @SpotifyCares https://t.co/j9zDE9aOBb,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
1858002,Smh I'm trying to give Spotify my money but they won't take it!! @SpotifyCares https://t.co/EI0ug7teRA,Billing & Subscription,Billing & Subscription,Billing & Subscription
1805408,@125633 hi. where can i inquire about outstanding SfA access requests? still waiting on my whole label's roster. tvym,Account & Access,Account & Access,Account & Access
1302813,@SpotifyCares I think I have duplicate accounts can you help sort please?,Account & Access,Account & Access,Account & Access
1902340,@SpotifyCares @115888 your google commercials keep triggering my google home! Hope this helps,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2431670,"@115888 hey hey, is there anyway i can change my credit card info on the app? orrrrr",Billing & Subscription,Billing & Subscription,Billing & Subscription
997160,@SpotifyCares I was under the impression I'd only get charged £4.99 p/month but was charged £9.99 the last two months. I can't make a support ticket as the spotify help page on my browsers says '504 Gateway Time-out'. What do I do? https://t.co/KA5IdFJrl5,Billing & Subscription,Billing & Subscription,Billing & Subscription
2276897,"@SpotifyCares the new iOS11 update has ruined Spotify at the moment, it constantly skips songs, fast forward/skips ten seconds at a time and turns on and off - are you aware and is there a fix?",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
203105,What's with all this dead space? (above the albums) @115888 https://t.co/fIDi1pxlTF,Feature Request,Feature Request,Feature Request
787981,"@SpotifyCares android app shows all speakers, not windows app. After start playing to missing speaker through android app, it shows up on pc",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2518428,@115888 can we get more @167274 added 🙏🏾🙏🏾,Content Availability,Feature Request,Feature Request
2145977,@SpotifyCares Trying to migrate my acct over to a family plan. Doesn't seem to be working...ayudame porfa,Billing & Subscription,Billing & Subscription,Billing & Subscription
2338232,Good job @SpotifyCares only took you an hour longer than your competitor LMAO fucking shitty service lost a subscriber,General Complaint,General Complaint,General Complaint
513445,@SpotifyCares hello hi i'd like to ask why the nxworries album 'yes lawd' is not on spotify anymore,Content Availability,Content Availability,Content Availability
2618566,@SpotifyCares I need to reset password...The password reset link doesn't arrive. Spotify support processes are really rubbish!,Account & Access,Account & Access,Account & Access
1225948,@115888 is there a way to see my unplayed podcast episodes on the desktop app or is that a feature only in the mobile app?,Feature Request,Feature Request,Feature Request
2871125,@115888 I can't avail the premium promo. can you please check. I have sufficient load in my sim card but your system says it's insufficient. why is that?,Billing & Subscription,Billing & Subscription,Billing & Subscription
2527179,"@115888 someone somehow changed my account from Premium to Family, and was using my account. No clue who it is or how they did it. I changed it back to Premium, but what else do I do to protect my identity and payment info?",Account & Access,Account & Access,Account & Access
1664971,@SpotifyCares Most iOS apps have already been optimized for iPhone X. Any plans do update Spotify to support Apple’s new display? @147836,Feature Request,Feature Request,Feature Request
1815371,@SpotifyCares what are the odds of you adding Tool? It kinda sucks paying $10 a month and not having access to one of my favorite bands.,Content Availability,Content Availability,Content Availability
2338223,"Yo, I pay for premium and y’all don’t even have this album on here yet. @115888",Content Availability,Content Availability,Content Availability
903045,"@SpotifyCares I just signed up for student discount, I’m trying to activate Hulu and getting error “This field is required”",Billing & Subscription,Billing & Subscription,Billing & Subscription
2917768,Is anyone else having issues with @115888 ???,Other / Unclear,Other / Unclear,Other / Unclear
1218600,Also wish we could still send music through messages to friends @115888,Feature Request,Feature Request,Feature Request
962773,@115888 @SpotifyCares everytime I try and add a member to my premium family this is what I see. Help pls https://t.co/TRmKPv5z8d,Billing & Subscription,Account & Access,Account & Access
2053746,@SpotifyCares is there anyway to contact the curators,Other / Unclear,Feature Request,Feature Request
1802330,"@SpotifyCares. My Spotify account keeps playing music on this speaker, but it’s nothing to do with me and interrupts my listening. #help https://t.co/BBTANZB7ik",Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
574254,@115888 @131098 Spotify to Chromecast randomly stops playing audio (on iPad/IOS and Android phone). Time bar still moving. Does not happen on other apps that can cast to Chromecast. Known problem? Real showstopper.,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2304856,"@115888 it sure would be great if you didn't play ads with f-bombs in them during breakfast with the Beatles with my 3 yr old. And don't try to sell me Premium, I already pay! Just wasn't logged in on this computer",General Complaint,General Complaint,General Complaint
941575,@spotifycares when will changing playlist covers on mobile be available??,Feature Request,Feature Request,Feature Request
1629841,what can i do for you to give me free premium @SpotifyCares,Billing & Subscription,Billing & Subscription,Billing & Subscription
1256154,@115888 @SpotifyCares hello hi when am I getting my year in review playlist ???! #urgent #NetNeutrality,Other / Unclear,Feature Request,Feature Request
2041109,Why the hell is Runaway by @351 not on @115888 @3493 ?,Content Availability,Content Availability,Content Availability
2676953,"Dear @115888 if I'm tryna listen to Without Warning by Offset an 21, why would niggas really think I'm tryna bump Taylor Swift randomly????",Playback & Technical Issue,General Complaint,General Complaint
1544677,"Also, @115888 are you hiring a playlist maker? If so, hmu.",Other / Unclear,Other / Unclear,Other / Unclear
1600783,@SpotifyCares hi why does my Student account say it's going to double in price next month? Just wondering!,Billing & Subscription,Billing & Subscription,Billing & Subscription
1790145,@115888 hey Spotify if I get the 3 month premium trial does it also include playing any song I want?,Billing & Subscription,Account & Access,Account & Access
1903415,I tried to do the playstation spotify trial and it ended charging 10 dollars to my psn wallet instead of 2 what can I do?@SpotifyCares,Billing & Subscription,Billing & Subscription,Billing & Subscription
2920714,@115888 not working. Fix. NOW,Other / Unclear,Playback & Technical Issue,Playback & Technical Issue
2308796,@SpotifyCares you canceled my Hulu account and I️ don’t get why,Billing & Subscription,Playback & Technical Issue,Playback & Technical Issue
1942994,@115888.  Lost my paid account. Cant access again. And again. Bad stuff always,Account & Access,Account & Access,Account & Access
1151617,What's happening spotify? Gigil mo si akoooo,Other / Unclear,General Complaint,General Complaint
1761879,"@SpotifyCares I'll be moving from USA to New Zealand next month, do I need to cancel my sub and get an NZ one, or will mine transfer?",Billing & Subscription,Billing & Subscription,Billing & Subscription
2060183,"@SpotifyCares I'm getting emails about a Spotify account, but don't have one.",Account & Access,Account & Access,Account & Access
2766513,@115888 I signed up to premium with my old spotify account by mistake. I have cancelled it and says will end in February...will i still get charged? I want to set up premium on the new account.,Billing & Subscription,Billing & Subscription,Billing & Subscription
2461404,"@SpotifyCares dear admin.... can you please fix this artist name? -- https://t.co/jY3MCmFeRv the name should ""d'Masiv"" Thx so much!",Content Availability,Feature Request,Feature Request
2225738,@115888 @SpotifyCares update your app to the iphone X layout!!,Feature Request,Feature Request,Feature Request
2045339,Why am I hearing commercials? I am a premium customer. @117153,Billing & Subscription,Billing & Subscription,Billing & Subscription
431731,@115888 @SpotifyCares hey I’m having difficulty updating my account in app. Do I have to access that on a browser?,Account & Access,Account & Access,Account & Access
821254,"@SpotifyCares just sent u a dm, please answer",Other / Unclear,Other / Unclear,Other / Unclear
2646377,I don’t like that @115888 does not allow the user to filter out singles and EPs from their New Releases tab.  Please fix.,Feature Request,Feature Request,Feature Request
44681,Look I love you &amp; all but also get your shit together and stop undownloading all my songs @115888 this $10 ain’t a joke,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
416207,Dear @115888 there're some problems with #ElDorado I cannot play some songs @31886,Content Availability,Playback & Technical Issue,Playback & Technical Issue
1810627,.@115888 i'm still waiting for Born Singer by @133324 to be available on spotify,Content Availability,Content Availability,Content Availability
1960656,@SpotifyCares Hi music on my phone! I’m having trouble with one of my family members don’t get mail invites for my family account. DM?,Billing & Subscription,Account & Access,Account & Access
2275467,Yo @115888 you need to have profiles like @116602 does 🙏🏻,Feature Request,Feature Request,Feature Request
2095204,Dear @115888 can you please tell me when I have duplicate songs in a playlist.,Feature Request,Feature Request,Feature Request
431437,@116130 Please could you let me have a contact number.  I have an urgent issue but can't speak to anyone!!,Other / Unclear,Account & Access,Account & Access
2032670,@SpotifyCares can i download podcasts to a samsung gear sport and listen to offline or it only works with music?,Feature Request,Account & Access,Account & Access
2275455,I don't understand why @17050's music always comes up in the pop genre on @117168 - his music is depressing AF &amp; doesn't make me stoked,Playback & Technical Issue,General Complaint,General Complaint
2052028,@115888 do me a solid and bring back the spotify app on LG TVs,Feature Request,Feature Request,Feature Request
452112,"@115888 how do I get my favourite podcasts added so I can use you for music and podcasts, I need my @20992 and @20993 !",Content Availability,Account & Access,Account & Access
668695,@117153 Having payment issues! Trying to upgrade to family but checkout is acting funny and won't accept my card. Help!,Billing & Subscription,Billing & Subscription,Billing & Subscription
1021643,"@SpotifyCares Hi, I need ur help. I need to cancel my subscription to Spotify Premium, but i don't have access to the account because it was created w/ my Facebook that I don't have anymore and i can't get back. So what should I do? sorry about my english :P",Account & Access,Billing & Subscription,Billing & Subscription
2456328,"@115888 @117168 optimize your app for iPhone X dammit, I don't want to use Apple Music :///",Feature Request,Feature Request,Feature Request
670534,"@SpotifyCares 
Hi Spotify. Every time I try to open an account it put in HK  as country.
How to avoid that?",Account & Access,Account & Access,Account & Access
762617,"@SpotifyCares @115888 can you make Spotify worldwide, a lot of us wants to use it but it's not available in our country",Feature Request,Content Availability,Content Availability
2397304,@117153 hey! was rejected in spotoify premium for students but i'm still charged. please give me a refund as i have not been granted  premium account.,Billing & Subscription,Billing & Subscription,Billing & Subscription
2567214,@SpotifyCares I got an email saying that my payment won't go through for premium and the website won't let me update my payment details.,Billing & Subscription,Billing & Subscription,Billing & Subscription
160563,@117168 when are y’all gonna make it easier to delete songs in playlists on mobile??? 😭😭,Feature Request,Feature Request,Feature Request
429221,Spotify on Linux still has no minimise to tray functionality. It's very annoying. There must be zero money in it on Linux @115888 #spotify,Feature Request,Feature Request,Feature Request
554121,YES THANK YOU SO MUCH I LOVE YOU SPOTIFY https://t.co/hlH4dNSRqL,Other / Unclear,Other / Unclear,Other / Unclear
2538275,@SpotifyCares @115888 How about adding the key and tempo of songs as a sorting feature? Make it an optional setting and you could just get data off of the many sites that offer the info.,Feature Request,Feature Request,Feature Request
106351,"@SpotifyCares my wife is trying to accept my new Spotify Family plan and she's getting the error ""undefined - Oops something went wrong, please try again."" Please advise.",Billing & Subscription,Billing & Subscription,Billing & Subscription
2307212,@SpotifyCares ever since I got this update I haven’t been able to see my library. Can you help me 😭,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
1369155,"ILU, @115888, not about 2 jump ship over this but r u @ least considering bringing back #TouchPreview for iOS? I'm not alone in this. 😊",Feature Request,Feature Request,Feature Request
2583346,@115888 can u optimize your app for iPhone x ? Been 2 weeks now,Feature Request,Feature Request,Feature Request
1106527,"@SpotifyCares So if I have local files that I purchased from another place, how can these files sync to Spotify.  I wish this was easier..",Feature Request,Account & Access,Account & Access
879617,@SpotifyCares why cant i join the premium family? I've accepted but it says unable to join https://t.co/8K3G6o5PXV,Billing & Subscription,Billing & Subscription,Billing & Subscription
704815,@115888 please go back to in-app music sharing vs. text to share 🙏🏻 much better UX the old way + keeps things all in one place = more music for everyone,Feature Request,Feature Request,Feature Request
2646395,"Dear @115888,

If we wanted distorted audio, we'd use YouTube.  

~Disappointed Music listener, Eva.",Playback & Technical Issue,General Complaint,General Complaint
2632597,"@117153 I try add my fathers account to our spotify family account. He received the mail but get the message: ""3 - Hoppla! Da ist wohl etwas schiefgegangen. Versuch es noch mal."" after entering the adress informations.",Billing & Subscription,Billing & Subscription,Billing & Subscription
979336,Someone wanna explain to me why @115888 doesn’t have a “jump to the bottom of the playlist” feature yet? So much scrolling,Feature Request,Feature Request,Feature Request
2337771,@115888 where are u with super slimey? you are 6 minutes late,Content Availability,Other / Unclear,Other / Unclear
1958902,@SpotifyCares Why is your embed code making requests to 127.0.0.1 ? https://t.co/Xgj1OytsCl,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2584499,Hey @SpotifyCares wondering if you can help me again — any reason my menu at the bottom doesn’t show? Just the song playing? Seems buggy https://t.co/uGKUdYpJAa,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2647453,@115888 add the Perfect Velvet album right now i’ve been waiting all damn day,Content Availability,Content Availability,Content Availability
878891,Hey @SpotifyCares can i get a dm about an issue,Other / Unclear,Other / Unclear,Other / Unclear
570523,"@115888 Hey, I’m curious if you have any plans to implement touch swipe features to go back etc. on the macOS desktop app? would 💚 it",Feature Request,Feature Request,Feature Request
1875,Why are my devices not doing the cool thing when I play the #StrangerThings albums on @115888? 😭,Playback & Technical Issue,Playback & Technical Issue,Playback & Technical Issue
2557514,. @SpotifyCares When are y'all going to optimize your app for the 5.8 inch iPhone X display???,Feature Request,Feature Request,Feature Request
608890,So why is there still no BOYCOTT button on @115888? I want to listen to a radio without the threat of Chris Brown or R Kelly,Feature Request,Feature Request,Feature Request
